Token Name,Token Ofered,Price,Compared Token Price,Participants,Total Commited,Compared Token Commited,End Date
BETA,50000000.0,0.00013828,BNB,158.944,7340628.0978,BNB,2021-10-08
C98,50000000.0,0.00025041,BNB,73.231,5432983.1855,BNB,2021-07-23
BAR,74735.0,0.04512816,BNB,62.737,5375198.0423,BNB,2021-04-21
TKO,75000000.0,0.00024631,BNB,201.406,10502201.0706,BNB,2021-04-07
LINA,21084000.0,0.00031044,BNB,66.138,5840577.1206,BNB,2021-03-18
DEGO,380000.0,0.01838235,BNB,29.605,4913880.0787,BNB,2021-03-10
ACM,205128.0,0.02006172,BNB,27.414,5709829.9577,BNB,2021-02-24
SFP,50000000.0,0.00144927,BNB,47.286,11262241.594,BNB,2021-02-08
AXS,29700000.0,0.00377358,BNB,22.096,Nan,Nan,2020-11-04
INJ,9000000.0,0.01333333,BNB,22.175,Nan,Nan,2020-10-20
ALPHA,100000000.0,0.0007326,BNB,20.112,Nan,Nan,2020-10-09
SAND,360000000.0,0.00038758,BNB,23.249,Nan,Nan,2020-08-14
CTSI,100000000.0,0.00097911,BNB,22.169,Nan,Nan,2020-04-22
WRX,100000000.0,0.00108401,BNB,20.651,Nan,Nan,2020-02-04
TROY,800000000.0,0.00032875,BNB,15.605,Nan,Nan,2019-12-04
KAVA,6521739.0,0.02581369,BNB,27.126,Nan,Nan,2019-10-24
BAND,12368200.0,0.02281717,BNB,35.579,Nan,Nan,2019-09-17
PERL,86530500.0,0.00287844,BNB,40.695,Nan,Nan,2019-08-25
WIN,49950000000.0,4.55e-06,BNB,43.604,Nan,Nan,2019-07-31
ERD,5000000000.0,1.984e-05,BNB,40.462,Nan,Nan,2019-07-02
ONE,1575000000.0,9.2e-05,BNB,22.891,Nan,Nan,2019-05-28
MATIC,1900000000.0,0.000119,BNB,13.17,Nan,Nan,2019-04-25
CELR,597014925.0,0.000434,BNB,5.344,Nan,Nan,2019-03-24
FET,69204152.0,0.008584,BNB,5.344,Nan,Nan,2019-03-02
BTT,23760000000.0,1.824e-05,BNB,2.672,Nan,Nan,2019-02-03
BRD,3500000.0,0.15,BNB,2.672,Nan,Nan,2017-12-26

